@relation InstanceResultListener

@attribute Key_Dataset {R_data_frame}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes,weka.classifiers.functions.SMO,weka.classifiers.functions.SimpleLogistic,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-I 0 -M 500 -H 50 -W 0.0','-P 100 -S 1 -I 10 -W weka.classifiers.trees.DecisionStump'}
@attribute Key_Scheme_version_ID {5995231201785697655,-6585883636378691736,7397710626304705059,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

R_data_frame,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,74,18,0,80.434783,19.565217,0,0.604017,0.201328,0.404299,40.736166,81.341513,91.214767,96.506411,-5.291644,0.991465,1.048983,-0.057518,54.082715,0.587856,59.291622,0.780488,32,0.176471,9,0.823529,42,0.219512,9,0.780488,0.780488,0.780488,0.604017,0.897657,0.899236,0.804348,0.200331,0.799669,0.195652,0.804348,0.804348,0.804348,0.604017,0.897657,0.906825,0.802009,0.804348,0.001,0.001,0.00069,0.000332,0.69,0.332,5836,139180,18070,89.130435,59.782609,?,?,?
R_data_frame,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,77,15,0,83.695652,16.304348,0,0.662757,0.161529,0.356906,32.683429,71.806387,91.214767,102.452099,-11.237332,0.991465,1.11361,-0.122145,61.715416,0.67082,67.659457,0.707317,29,0.058824,3,0.941176,48,0.292683,12,0.90625,0.707317,0.794521,0.676756,0.882353,0.902895,0.836957,0.188463,0.811537,0.163043,0.847351,0.836957,0.833516,0.676756,0.882353,0.872821,0.829693,0.836957,0.001,0,0.000669,0.000299,0.669,0.299,5836,139180,18070,91.304348,59.782609,?,?,?
R_data_frame,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,81,11,0,88.043478,11.956522,0,0.758588,0.142021,0.318427,28.736249,64.064869,91.214767,46.979472,44.235295,0.991465,0.510646,0.480818,65.419506,0.711082,71.720302,0.878049,36,0.117647,6,0.882353,45,0.121951,5,0.857143,0.878049,0.86747,0.758771,0.955524,0.95179,0.880435,0.120033,0.879967,0.119565,0.880901,0.880435,0.880563,0.758771,0.955524,0.959183,0.879279,0.880435,0.002,0,0.001573,0.00046,1.573,0.46,5836,139180,18070,94.565217,60.326087,?,?,?
R_data_frame,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,76,16,0,82.608696,17.391304,0,0.646324,0.19289,0.393128,39.028788,79.094086,91.214767,112.931597,-21.71683,0.991465,1.227517,-0.236052,56.173153,0.610578,61.583398,0.780488,32,0.137255,7,0.862745,44,0.219512,9,0.820513,0.780488,0.8,0.646956,0.867049,0.882037,0.826087,0.182854,0.817146,0.173913,0.825877,0.826087,0.825585,0.646956,0.867049,0.855643,0.823077,0.826087,0.001,0,0.000793,0.000341,0.793,0.341,5836,139180,18070,90.217391,62.5,?,?,?
R_data_frame,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,79,13,0,85.869565,14.130435,0,0.713327,0.138941,0.325162,28.113028,65.41989,91.214767,53.558133,37.656634,0.991465,0.582154,0.409311,65.579336,0.712819,71.895525,0.829268,34,0.117647,6,0.882353,45,0.170732,7,0.85,0.829268,0.839506,0.7135,0.946915,0.934098,0.858696,0.147074,0.852926,0.141304,0.858528,0.858696,0.858509,0.7135,0.946915,0.947712,0.856646,0.858696,0.001,0,0.000748,0.000352,0.748,0.352,5836,139180,18070,95.652174,59.782609,?,?,?
R_data_frame,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,82,10,0,89.130435,10.869565,0,0.78001,0.135266,0.31596,27.369381,63.568439,91.214767,60.866967,30.3478,0.991465,0.661597,0.329867,67.008423,0.728352,73.462254,0.878049,36,0.098039,5,0.901961,46,0.121951,5,0.878049,0.878049,0.878049,0.78001,0.932568,0.908092,0.891304,0.111295,0.888705,0.108696,0.891304,0.891304,0.891304,0.78001,0.932568,0.931427,0.890005,0.891304,0.001,0,0.000723,0.000348,0.723,0.348,5836,139180,18070,94.565217,60.869565,?,?,?
R_data_frame,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,76,16,0,82.608696,17.391304,0,0.639392,0.191968,0.402079,38.842376,80.894769,91.214767,116.263116,-25.048349,0.991465,1.26373,-0.272265,56.100129,0.609784,61.503341,0.682927,28,0.058824,3,0.941176,48,0.317073,13,0.903226,0.682927,0.777778,0.656278,0.868962,0.8756,0.826087,0.201984,0.798016,0.173913,0.838733,0.826087,0.821774,0.656278,0.868962,0.872514,0.81746,0.826087,0,0.001,0.000773,0.000456,0.773,0.456,5836,139180,18070,86.956522,58.695652,?,?,?
R_data_frame,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,81,11,0,88.043478,11.956522,0,0.75743,0.132487,0.328387,26.807026,66.068668,91.214767,60.397823,30.816944,0.991465,0.656498,0.334967,66.977057,0.728011,73.427866,0.853659,35,0.098039,5,0.901961,46,0.146341,6,0.875,0.853659,0.864198,0.757615,0.945481,0.939916,0.880435,0.124815,0.875185,0.119565,0.88033,0.880435,0.880277,0.757615,0.945481,0.949354,0.878701,0.880435,0.001,0,0.000629,0.000309,0.629,0.309,5836,139180,18070,93.478261,59.782609,?,?,?
R_data_frame,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,827,91,81,10,0,89.010989,10.989011,0,0.779019,0.125934,0.304537,25.457087,61.205244,90.361617,42.414428,47.94719,0.992985,0.466093,0.526892,67.74936,0.744498,74.975816,0.902439,37,0.12,6,0.88,44,0.097561,4,0.860465,0.902439,0.880952,0.779781,0.960976,0.954015,0.89011,0.107671,0.892329,0.10989,0.891345,0.89011,0.890297,0.779781,0.960976,0.963244,0.889456,0.89011,0,0.001,0.000661,0.000288,0.661,0.288,5836,139345,17905,96.703297,61.538462,?,?,?
