@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,508,0,410,0,1,1,0.553377,1,0.446623,0.712482,1,1,0.004081
1,508,0,407,3,0.992683,1,0.555191,1,0.444809,0.713985,0.996732,1.003279,0.004837
2,508,0,404,6,0.985366,1,0.557018,1,0.442982,0.715493,0.993464,1.006579,0.005442
3,508,0,402,8,0.980488,1,0.558242,1,0.441758,0.716502,0.991285,1.008791,0.005555
4,508,0,396,14,0.965854,1,0.561947,1,0.438053,0.719547,0.984749,1.015487,0.005928
5,508,0,394,16,0.960976,1,0.563193,1,0.436807,0.720567,0.982571,1.017738,0.006052
6,508,0,392,18,0.956098,1,0.564444,1,0.435556,0.721591,0.980392,1.02,0.006305
7,508,0,389,21,0.94878,1,0.566332,1,0.433668,0.723132,0.977124,1.023411,0.007177
8,508,0,385,25,0.939024,1,0.568869,1,0.431131,0.725196,0.972767,1.027996,0.008003
9,508,0,382,28,0.931707,1,0.570787,1,0.429213,0.726753,0.969499,1.031461,0.008937
10,508,0,380,30,0.926829,1,0.572072,1,0.427928,0.727794,0.96732,1.033784,0.009163
11,508,0,377,33,0.919512,1,0.574011,1,0.425989,0.729361,0.964052,1.037288,0.00961
12,508,0,372,38,0.907317,1,0.577273,1,0.422727,0.731988,0.958606,1.043182,0.010468
13,508,0,365,45,0.890244,1,0.581901,1,0.418099,0.735699,0.95098,1.051546,0.011305
14,508,0,363,47,0.885366,1,0.583238,1,0.416762,0.736766,0.948802,1.053961,0.0115
15,508,0,361,49,0.880488,1,0.58458,1,0.41542,0.737836,0.946623,1.056387,0.012645
16,508,0,358,52,0.873171,1,0.586605,1,0.413395,0.739447,0.943355,1.060046,0.014625
17,508,0,355,55,0.865854,1,0.588644,1,0.411356,0.741065,0.940087,1.063731,0.016935
18,508,0,354,56,0.863415,1,0.589327,1,0.410673,0.741606,0.938998,1.064965,0.016948
19,508,0,351,59,0.856098,1,0.591385,1,0.408615,0.743233,0.93573,1.068685,0.017373
20,508,0,344,66,0.839024,1,0.596244,1,0.403756,0.747059,0.928105,1.077465,0.019414
21,508,0,342,68,0.834146,1,0.597647,1,0.402353,0.748159,0.925926,1.08,0.020096
22,508,0,340,70,0.829268,1,0.599057,1,0.400943,0.749263,0.923747,1.082547,0.020663
23,508,0,335,75,0.817073,1,0.60261,1,0.39739,0.752036,0.918301,1.088968,0.021282
24,508,0,331,79,0.807317,1,0.605483,1,0.394517,0.754269,0.913943,1.09416,0.021726
25,508,0,325,85,0.792683,1,0.609844,1,0.390156,0.757644,0.907407,1.102041,0.021969
26,507,1,323,87,0.787805,0.998031,0.610843,0.998031,0.389157,0.757848,0.904139,1.103847,0.022559
27,507,1,322,88,0.785366,0.998031,0.61158,0.998031,0.38842,0.758414,0.90305,1.105178,0.022774
28,507,1,315,95,0.768293,0.998031,0.616788,0.998031,0.383212,0.762406,0.895425,1.11459,0.023008
29,507,1,309,101,0.753659,0.998031,0.621324,0.998031,0.378676,0.765861,0.888889,1.122785,0.02328
30,507,1,308,102,0.75122,0.998031,0.622086,0.998031,0.377914,0.76644,0.8878,1.124163,0.023395
31,507,1,306,104,0.746341,0.998031,0.623616,0.998031,0.376384,0.7676,0.885621,1.126929,0.023411
32,507,1,304,106,0.741463,0.998031,0.625154,0.998031,0.374846,0.768764,0.883442,1.129708,0.024117
33,507,1,303,107,0.739024,0.998031,0.625926,0.998031,0.374074,0.769347,0.882353,1.131102,0.024887
34,507,1,302,108,0.736585,0.998031,0.6267,0.998031,0.3733,0.769932,0.881264,1.132501,0.024888
35,507,1,298,112,0.726829,0.998031,0.629814,0.998031,0.370186,0.772277,0.876906,1.138128,0.025708
36,507,1,295,115,0.719512,0.998031,0.63217,0.998031,0.36783,0.774046,0.873638,1.142385,0.030861
37,507,1,294,116,0.717073,0.998031,0.632959,0.998031,0.367041,0.774637,0.872549,1.143811,0.03101
38,507,1,293,117,0.714634,0.998031,0.63375,0.998031,0.36625,0.775229,0.87146,1.145241,0.033904
39,507,1,292,118,0.712195,0.998031,0.634543,0.998031,0.365457,0.775822,0.87037,1.146674,0.037922
40,507,1,291,119,0.709756,0.998031,0.635338,0.998031,0.364662,0.776417,0.869281,1.148111,0.038519
41,506,2,283,127,0.690244,0.996063,0.641318,0.996063,0.358682,0.780262,0.859477,1.158917,0.038546
42,505,3,283,127,0.690244,0.994094,0.640863,0.994094,0.359137,0.779321,0.858388,1.158095,0.039085
43,505,3,282,128,0.687805,0.994094,0.641677,0.994094,0.358323,0.779923,0.857298,1.159566,0.040034
44,505,3,280,130,0.682927,0.994094,0.643312,0.994094,0.356688,0.781129,0.85512,1.162521,0.040843
45,505,3,273,137,0.665854,0.994094,0.6491,0.994094,0.3509,0.785381,0.847495,1.17298,0.040876
46,505,3,272,138,0.663415,0.994094,0.649936,0.994094,0.350064,0.785992,0.846405,1.17449,0.040982
47,505,3,269,141,0.656098,0.994094,0.652455,0.994094,0.347545,0.787832,0.843137,1.179042,0.042454
48,505,3,263,147,0.641463,0.994094,0.657552,0.994094,0.342448,0.791536,0.836601,1.188254,0.042842
49,503,5,252,158,0.614634,0.990157,0.666225,0.990157,0.333775,0.796516,0.82244,1.203927,0.043036
50,503,5,251,159,0.612195,0.990157,0.667109,0.990157,0.332891,0.797147,0.821351,1.205523,0.043058
51,501,7,239,171,0.582927,0.98622,0.677027,0.98622,0.322973,0.802885,0.8061,1.223446,0.044861
52,501,7,238,172,0.580488,0.98622,0.677943,0.98622,0.322057,0.803528,0.805011,1.225102,0.045432
53,501,7,237,173,0.578049,0.98622,0.678862,0.98622,0.321138,0.804173,0.803922,1.226762,0.045564
54,501,7,236,174,0.57561,0.98622,0.679783,0.98622,0.320217,0.804819,0.802832,1.228427,0.045804
55,500,8,234,176,0.570732,0.984252,0.681199,0.984252,0.318801,0.805153,0.799564,1.230985,0.047449
56,500,8,229,181,0.558537,0.984252,0.685871,0.984252,0.314129,0.808407,0.794118,1.239428,0.048429
57,500,8,223,187,0.543902,0.984252,0.691563,0.984252,0.308437,0.812348,0.787582,1.249714,0.048945
58,500,8,222,188,0.541463,0.984252,0.692521,0.984252,0.307479,0.813008,0.786492,1.251445,0.04897
59,500,8,221,189,0.539024,0.984252,0.693481,0.984252,0.306519,0.81367,0.785403,1.253181,0.049145
60,500,8,220,190,0.536585,0.984252,0.694444,0.984252,0.305556,0.814332,0.784314,1.254921,0.050604
61,500,8,219,191,0.534146,0.984252,0.69541,0.984252,0.30459,0.814996,0.783224,1.256667,0.050885
62,500,8,218,192,0.531707,0.984252,0.696379,0.984252,0.303621,0.815661,0.782135,1.258417,0.053096
63,500,8,208,202,0.507317,0.984252,0.706215,0.984252,0.293785,0.822368,0.771242,1.276191,0.053922
64,500,8,205,205,0.5,0.984252,0.70922,0.984252,0.29078,0.824402,0.767974,1.281622,0.055991
65,500,8,203,207,0.495122,0.984252,0.711238,0.984252,0.288762,0.825764,0.765795,1.285268,0.056548
66,500,8,202,208,0.492683,0.984252,0.712251,0.984252,0.287749,0.826446,0.764706,1.287099,0.062764
67,500,8,200,210,0.487805,0.984252,0.714286,0.984252,0.285714,0.827815,0.762527,1.290776,0.067515
68,500,8,199,211,0.485366,0.984252,0.715308,0.984252,0.284692,0.8285,0.761438,1.292623,0.067936
69,500,8,198,212,0.482927,0.984252,0.716332,0.984252,0.283668,0.829187,0.760349,1.294475,0.068947
70,500,8,196,214,0.478049,0.984252,0.718391,0.984252,0.281609,0.830565,0.75817,1.298194,0.070652
71,500,8,195,215,0.47561,0.984252,0.719424,0.984252,0.280576,0.831255,0.757081,1.300062,0.072592
72,500,8,194,216,0.473171,0.984252,0.720461,0.984252,0.279539,0.831947,0.755991,1.301936,0.073148
73,499,9,194,216,0.473171,0.982283,0.720058,0.982283,0.279942,0.830974,0.754902,1.301207,0.074982
74,499,9,193,217,0.470732,0.982283,0.721098,0.982283,0.278902,0.831667,0.753813,1.303087,0.07799
75,499,9,191,219,0.465854,0.982283,0.723188,0.982283,0.276812,0.833055,0.751634,1.306864,0.078858
76,499,9,188,222,0.458537,0.982283,0.726346,0.982283,0.273654,0.835146,0.748366,1.312571,0.078888
77,499,9,186,224,0.453659,0.982283,0.728467,0.982283,0.271533,0.836547,0.746187,1.316403,0.080385
78,499,9,185,225,0.45122,0.982283,0.729532,0.982283,0.270468,0.837248,0.745098,1.318328,0.081458
79,499,9,184,226,0.44878,0.982283,0.7306,0.982283,0.2694,0.837951,0.744009,1.320258,0.082959
80,499,9,183,227,0.446341,0.982283,0.731672,0.982283,0.268328,0.838655,0.742919,1.322194,0.084281
81,499,9,182,228,0.443902,0.982283,0.732746,0.982283,0.267254,0.839361,0.74183,1.324135,0.086564
82,497,11,179,231,0.436585,0.978346,0.735207,0.978346,0.264793,0.839527,0.736383,1.328583,0.086923
