@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,508,0,410,0,1,1,0.553377,1,0.446623,0.712482,1,1,0.006403
1,508,0,409,1,0.997561,1,0.55398,1,0.44602,0.712982,0.998911,1.001091,0.007938
2,508,0,406,4,0.990244,1,0.555799,1,0.444201,0.714487,0.995643,1.004376,0.0105
3,508,0,405,5,0.987805,1,0.556407,1,0.443593,0.714989,0.994553,1.005476,0.014126
4,508,0,402,8,0.980488,1,0.558242,1,0.441758,0.716502,0.991285,1.008791,0.014925
5,508,0,399,11,0.973171,1,0.560088,1,0.439912,0.718021,0.988017,1.012128,0.014959
6,508,0,394,16,0.960976,1,0.563193,1,0.436807,0.720567,0.982571,1.017738,0.015096
7,508,0,392,18,0.956098,1,0.564444,1,0.435556,0.721591,0.980392,1.02,0.020288
8,508,0,391,19,0.953659,1,0.565072,1,0.434928,0.722104,0.979303,1.021135,0.021174
9,508,0,390,20,0.95122,1,0.565702,1,0.434298,0.722617,0.978214,1.022272,0.021432
10,508,0,387,23,0.943902,1,0.567598,1,0.432402,0.724163,0.974946,1.025698,0.022151
11,508,0,384,26,0.936585,1,0.569507,1,0.430493,0.725714,0.971678,1.029148,0.022306
12,508,0,382,28,0.931707,1,0.570787,1,0.429213,0.726753,0.969499,1.031461,0.023858
13,508,0,371,39,0.904878,1,0.577929,1,0.422071,0.732516,0.957516,1.044369,0.02411
14,508,0,370,40,0.902439,1,0.578588,1,0.421412,0.733045,0.956427,1.045558,0.026356
15,508,0,367,43,0.895122,1,0.580571,1,0.419429,0.734635,0.953159,1.049143,0.026728
16,508,0,361,49,0.880488,1,0.58458,1,0.41542,0.737836,0.946623,1.056387,0.028708
17,508,0,359,51,0.87561,1,0.585928,1,0.414072,0.738909,0.944444,1.058824,0.031732
18,508,0,357,53,0.870732,1,0.587283,1,0.412717,0.739985,0.942266,1.061272,0.032654
19,508,0,355,55,0.865854,1,0.588644,1,0.411356,0.741065,0.940087,1.063731,0.037449
20,508,0,353,57,0.860976,1,0.590012,1,0.409988,0.742148,0.937908,1.066202,0.039407
21,508,0,352,58,0.858537,1,0.590698,1,0.409302,0.74269,0.936819,1.067442,0.04273
22,508,0,349,61,0.85122,1,0.592765,1,0.407235,0.744322,0.933551,1.071179,0.045584
23,508,0,343,67,0.836585,1,0.596945,1,0.403055,0.747609,0.927015,1.078731,0.048625
24,508,0,342,68,0.834146,1,0.597647,1,0.402353,0.748159,0.925926,1.08,0.04871
25,508,0,338,72,0.82439,1,0.600473,1,0.399527,0.750369,0.921569,1.085106,0.052669
26,507,1,337,73,0.821951,0.998031,0.600711,0.998031,0.399289,0.75,0.91939,1.085537,0.055594
27,507,1,335,75,0.817073,0.998031,0.602138,0.998031,0.397862,0.751111,0.917211,1.088115,0.057674
28,507,1,329,81,0.802439,0.998031,0.606459,0.998031,0.393541,0.754464,0.910675,1.095925,0.060169
29,506,2,329,81,0.802439,0.996063,0.605988,0.996063,0.394012,0.753537,0.909586,1.095073,0.063049
30,506,2,328,82,0.8,0.996063,0.606715,0.996063,0.393285,0.754098,0.908497,1.096386,0.064745
31,505,3,326,84,0.795122,0.994094,0.607702,0.994094,0.392298,0.754294,0.905229,1.098169,0.069475
32,505,3,320,90,0.780488,0.994094,0.612121,0.994094,0.387879,0.757689,0.898693,1.106156,0.075047
33,505,3,319,91,0.778049,0.994094,0.612864,0.994094,0.387136,0.758258,0.897603,1.107498,0.075991
34,505,3,316,94,0.770732,0.994094,0.615104,0.994094,0.384896,0.75997,0.894336,1.111545,0.079169
35,505,3,312,98,0.760976,0.994094,0.618115,0.994094,0.381885,0.762264,0.889978,1.116987,0.079983
36,504,4,302,108,0.736585,0.992126,0.62531,0.992126,0.37469,0.767123,0.877996,1.12999,0.084469
37,504,4,299,111,0.729268,0.992126,0.627646,0.992126,0.372354,0.768879,0.874728,1.134211,0.087289
38,504,4,295,115,0.719512,0.992126,0.630788,0.992126,0.369212,0.771232,0.87037,1.139889,0.087812
39,504,4,292,118,0.712195,0.992126,0.633166,0.992126,0.366834,0.773006,0.867102,1.144185,0.093029
40,503,5,284,126,0.692683,0.990157,0.639136,0.990157,0.360864,0.776834,0.857298,1.154974,0.099338
41,503,5,276,134,0.673171,0.990157,0.6457,0.990157,0.3543,0.781663,0.848584,1.166835,0.102378
42,503,5,275,135,0.670732,0.990157,0.64653,0.990157,0.35347,0.782271,0.847495,1.168335,0.105565
43,501,7,263,147,0.641463,0.98622,0.655759,0.98622,0.344241,0.787736,0.832244,1.185014,0.106852
44,501,7,262,148,0.639024,0.98622,0.656619,0.98622,0.343381,0.788356,0.831155,1.186567,0.112552
45,501,7,260,150,0.634146,0.98622,0.658344,0.98622,0.341656,0.789598,0.828976,1.189685,0.115655
46,501,7,257,153,0.626829,0.98622,0.66095,0.98622,0.33905,0.791469,0.825708,1.194394,0.123978
47,501,7,256,154,0.62439,0.98622,0.661823,0.98622,0.338177,0.792095,0.824619,1.195971,0.124032
48,501,7,254,156,0.619512,0.98622,0.663576,0.98622,0.336424,0.793349,0.82244,1.19914,0.130772
49,501,7,253,157,0.617073,0.98622,0.664456,0.98622,0.335544,0.793978,0.821351,1.20073,0.130845
