@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,508,0,410,0,1,1,0.553377,1,0.446623,0.712482,1,1,0.0069
1,508,0,409,1,0.997561,1,0.55398,1,0.44602,0.712982,0.998911,1.001091,0.007936
2,508,0,408,2,0.995122,1,0.554585,1,0.445415,0.713483,0.997821,1.002183,0.008315
3,508,0,407,3,0.992683,1,0.555191,1,0.444809,0.713985,0.996732,1.003279,0.00992
4,508,0,406,4,0.990244,1,0.555799,1,0.444201,0.714487,0.995643,1.004376,0.010428
5,508,0,405,5,0.987805,1,0.556407,1,0.443593,0.714989,0.994553,1.005476,0.010537
6,508,0,404,6,0.985366,1,0.557018,1,0.442982,0.715493,0.993464,1.006579,0.011381
7,508,0,403,7,0.982927,1,0.557629,1,0.442371,0.715997,0.992375,1.007684,0.01181
8,508,0,402,8,0.980488,1,0.558242,1,0.441758,0.716502,0.991285,1.008791,0.011867
9,508,0,401,9,0.978049,1,0.558856,1,0.441144,0.717008,0.990196,1.009901,0.012768
10,508,0,400,10,0.97561,1,0.559471,1,0.440529,0.717514,0.989107,1.011013,0.014024
11,508,0,399,11,0.973171,1,0.560088,1,0.439912,0.718021,0.988017,1.012128,0.014644
12,508,0,398,12,0.970732,1,0.560706,1,0.439294,0.718529,0.986928,1.013245,0.014647
13,508,0,397,13,0.968293,1,0.561326,1,0.438674,0.719038,0.985839,1.014365,0.015789
14,508,0,396,14,0.965854,1,0.561947,1,0.438053,0.719547,0.984749,1.015487,0.015892
15,508,0,395,15,0.963415,1,0.562569,1,0.437431,0.720057,0.98366,1.016611,0.017701
16,508,0,394,16,0.960976,1,0.563193,1,0.436807,0.720567,0.982571,1.017738,0.017889
17,508,0,393,17,0.958537,1,0.563818,1,0.436182,0.721079,0.981481,1.018868,0.018414
18,508,0,392,18,0.956098,1,0.564444,1,0.435556,0.721591,0.980392,1.02,0.018801
19,508,0,391,19,0.953659,1,0.565072,1,0.434928,0.722104,0.979303,1.021135,0.019584
20,508,0,390,20,0.95122,1,0.565702,1,0.434298,0.722617,0.978214,1.022272,0.020789
21,508,0,389,21,0.94878,1,0.566332,1,0.433668,0.723132,0.977124,1.023411,0.021065
22,508,0,376,34,0.917073,1,0.574661,1,0.425339,0.729885,0.962963,1.038462,0.021483
23,507,1,365,45,0.890244,0.998031,0.581422,0.998031,0.418578,0.734783,0.949891,1.05068,0.021517
24,507,1,356,54,0.868293,0.998031,0.587486,0.998031,0.412514,0.739606,0.940087,1.061637,0.022048
25,507,1,350,60,0.853659,0.998031,0.591599,0.998031,0.408401,0.742857,0.933551,1.06907,0.022337
26,507,1,343,67,0.836585,0.998031,0.596471,0.998031,0.403529,0.746686,0.925926,1.077874,0.023501
27,507,1,342,68,0.834146,0.998031,0.597173,0.998031,0.402827,0.747237,0.924837,1.079144,0.024629
28,507,1,335,75,0.817073,0.998031,0.602138,0.998031,0.397862,0.751111,0.917211,1.088115,0.025921
29,507,1,334,76,0.814634,0.998031,0.602854,0.998031,0.397146,0.751668,0.916122,1.089409,0.02705
30,507,1,333,77,0.812195,0.998031,0.603571,0.998031,0.396429,0.752226,0.915033,1.090706,0.027328
31,507,1,332,78,0.809756,0.998031,0.604291,0.998031,0.395709,0.752784,0.913943,1.092006,0.035281
32,507,1,331,79,0.807317,0.998031,0.605012,0.998031,0.394988,0.753343,0.912854,1.093309,0.035754
33,507,1,330,80,0.804878,0.998031,0.605735,0.998031,0.394265,0.753903,0.911765,1.094615,0.035888
34,507,1,329,81,0.802439,0.998031,0.606459,0.998031,0.393541,0.754464,0.910675,1.095925,0.041599
35,507,1,328,82,0.8,0.998031,0.607186,0.998031,0.392814,0.755026,0.909586,1.097237,0.041803
36,507,1,327,83,0.797561,0.998031,0.607914,0.998031,0.392086,0.755589,0.908497,1.098553,0.041908
37,507,1,326,84,0.795122,0.998031,0.608643,0.998031,0.391357,0.756152,0.907407,1.099871,0.043024
38,507,1,325,85,0.792683,0.998031,0.609375,0.998031,0.390625,0.756716,0.906318,1.101193,0.043431
39,507,1,324,86,0.790244,0.998031,0.610108,0.998031,0.389892,0.757282,0.905229,1.102519,0.043794
40,507,1,323,87,0.787805,0.998031,0.610843,0.998031,0.389157,0.757848,0.904139,1.103847,0.044754
41,507,1,322,88,0.785366,0.998031,0.61158,0.998031,0.38842,0.758414,0.90305,1.105178,0.045895
42,507,1,321,89,0.782927,0.998031,0.612319,0.998031,0.387681,0.758982,0.901961,1.106513,0.047115
43,507,1,320,90,0.780488,0.998031,0.613059,0.998031,0.386941,0.759551,0.900871,1.107851,0.047902
44,507,1,319,91,0.778049,0.998031,0.613801,0.998031,0.386199,0.76012,0.899782,1.109192,0.049318
45,507,1,318,92,0.77561,0.998031,0.614545,0.998031,0.385455,0.76069,0.898693,1.110537,0.049722
46,507,1,317,93,0.773171,0.998031,0.615291,0.998031,0.384709,0.761261,0.897603,1.111885,0.050032
47,507,1,316,94,0.770732,0.998031,0.616039,0.998031,0.383961,0.761833,0.896514,1.113236,0.050499
48,507,1,315,95,0.768293,0.998031,0.616788,0.998031,0.383212,0.762406,0.895425,1.11459,0.050526
49,507,1,314,96,0.765854,0.998031,0.61754,0.998031,0.38246,0.76298,0.894336,1.115948,0.051092
50,507,1,313,97,0.763415,0.998031,0.618293,0.998031,0.381707,0.763554,0.893246,1.117308,0.053027
51,507,1,310,100,0.756098,0.998031,0.620563,0.998031,0.379437,0.765283,0.889978,1.121411,0.053521
52,507,1,309,101,0.753659,0.998031,0.621324,0.998031,0.378676,0.765861,0.888889,1.122785,0.053907
53,507,1,308,102,0.75122,0.998031,0.622086,0.998031,0.377914,0.76644,0.8878,1.124163,0.054503
54,507,1,307,103,0.74878,0.998031,0.62285,0.998031,0.37715,0.76702,0.88671,1.125544,0.054747
55,507,1,306,104,0.746341,0.998031,0.623616,0.998031,0.376384,0.7676,0.885621,1.126929,0.054875
56,507,1,305,105,0.743902,0.998031,0.624384,0.998031,0.375616,0.768182,0.884532,1.128316,0.055381
57,507,1,304,106,0.741463,0.998031,0.625154,0.998031,0.374846,0.768764,0.883442,1.129708,0.05562
58,507,1,303,107,0.739024,0.998031,0.625926,0.998031,0.374074,0.769347,0.882353,1.131102,0.056813
59,507,1,302,108,0.736585,0.998031,0.6267,0.998031,0.3733,0.769932,0.881264,1.132501,0.05698
60,507,1,300,110,0.731707,0.998031,0.628253,0.998031,0.371747,0.771103,0.879085,1.135307,0.056998
61,507,1,299,111,0.729268,0.998031,0.629032,0.998031,0.370968,0.771689,0.877996,1.136716,0.057435
62,507,1,298,112,0.726829,0.998031,0.629814,0.998031,0.370186,0.772277,0.876906,1.138128,0.057455
63,507,1,297,113,0.72439,0.998031,0.630597,0.998031,0.369403,0.772866,0.875817,1.139543,0.058843
64,506,2,296,114,0.721951,0.996063,0.630923,0.996063,0.369077,0.772519,0.873638,1.140132,0.059064
65,506,2,295,115,0.719512,0.996063,0.63171,0.996063,0.36829,0.773109,0.872549,1.141555,0.061297
66,506,2,294,116,0.717073,0.996063,0.6325,0.996063,0.3675,0.7737,0.87146,1.142982,0.062013
67,506,2,293,117,0.714634,0.996063,0.633292,0.996063,0.366708,0.774292,0.87037,1.144413,0.062434
68,506,2,292,118,0.712195,0.996063,0.634085,0.996063,0.365915,0.774885,0.869281,1.145847,0.062509
69,506,2,291,119,0.709756,0.996063,0.634881,0.996063,0.365119,0.775479,0.868192,1.147285,0.062728
70,506,2,290,120,0.707317,0.996063,0.635678,0.996063,0.364322,0.776074,0.867102,1.148726,0.062924
71,506,2,289,121,0.704878,0.996063,0.636478,0.996063,0.363522,0.776669,0.866013,1.150171,0.063456
72,506,2,288,122,0.702439,0.996063,0.63728,0.996063,0.36272,0.777266,0.864924,1.151619,0.063722
73,506,2,287,123,0.7,0.996063,0.638083,0.996063,0.361917,0.777863,0.863834,1.153072,0.064242
74,506,2,286,124,0.697561,0.996063,0.638889,0.996063,0.361111,0.778462,0.862745,1.154528,0.066229
75,506,2,285,125,0.695122,0.996063,0.639697,0.996063,0.360303,0.779061,0.861656,1.155987,0.069294
76,506,2,284,126,0.692683,0.996063,0.640506,0.996063,0.359494,0.779661,0.860566,1.15745,0.070924
77,506,2,283,127,0.690244,0.996063,0.641318,0.996063,0.358682,0.780262,0.859477,1.158917,0.071661
78,506,2,282,128,0.687805,0.996063,0.642132,0.996063,0.357868,0.780864,0.858388,1.160388,0.072544
79,506,2,281,129,0.685366,0.996063,0.642948,0.996063,0.357052,0.781467,0.857298,1.161863,0.073774
80,506,2,280,130,0.682927,0.996063,0.643766,0.996063,0.356234,0.782071,0.856209,1.163341,0.074065
